,unit_name,report_date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
50,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Montgomery County,-0.34,,-0.44,-0.14,-0.14,0.11
2804,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Montgomery County,-0.38,-0.16,-0.52,-0.17,-0.3,0.13
51,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Morgan County,-0.27,0.18,-0.37,,-0.27,
2805,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Morgan County,-0.34,,-0.49,-0.14,-0.32,0.11
52,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Perry County,-0.29,,-0.53,,,
2806,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Perry County,-0.37,,-0.58,-0.16,,
53,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Pickens County,-0.36,,-0.36,,,
2807,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Pickens County,-0.35,,-0.36,,,
54,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Pike County,-0.25,,-0.39,-0.36,,
2808,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Pike County,-0.31,,-0.43,-0.34,,
55,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Randolph County,-0.22,,-0.29,-0.14,,
2809,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Randolph County,-0.31,,-0.45,,,
56,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Russell County,-0.27,,-0.28,,,0.13
2810,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Russell County,-0.35,,-0.46,0.19,,0.16
57,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Shelby County,-0.36,0.44,-0.43,-0.2,,0.12
2811,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Shelby County,-0.41,,-0.53,-0.27,,0.14
58,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,St. Clair County,-0.34,,-0.3,-0.15,-0.24,
2812,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,St. Clair County,-0.37,,-0.45,-0.15,-0.32,0.1
59,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Sumter County,-0.31,,-0.52,,,
2813,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Sumter County,-0.33,,-0.61,-0.11,,
60,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Talladega County,-0.33,0.17,-0.31,-0.1,-0.12,
2814,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Talladega County,-0.35,,-0.44,-0.13,-0.29,0.1
61,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Tallapoosa County,-0.25,,-0.31,,,0.13
2815,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Tallapoosa County,-0.3,,-0.43,,,0.14
62,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Tuscaloosa County,-0.4,,-0.46,-0.14,-0.29,0.12
2816,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Tuscaloosa County,-0.42,-0.13,-0.52,-0.18,-0.38,0.13
63,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Walker County,-0.24,,-0.37,-0.1,-0.32,0.12
2817,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Walker County,-0.26,,-0.46,-0.14,-0.4,0.13
64,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Washington County,-0.25,,,-0.13,,
2818,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Washington County,-0.23,,,-0.16,,
65,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Wilcox County,-0.31,,-0.49,-0.17,,
